title,year,rating,duration,metascore
The Shawshank Redemption,1995,9.3,142,82
The Godfather,1972,9.2,175,100
The Dark Knight,2008,9.1,152,85
The Godfather Part II,1975,9.0,202,90
12 Angry Men,1957,9.0,96,97
The Lord of the Rings: The Return of the King,2003,9.0,201,94
Schindler&apos;s List,1994,9.0,195,95
Pulp Fiction,1995,8.8,154,95
Modern Times,1936,8.5,87,96
Alien,1979,8.5,117,89
Intouchables,2012,8.5,112,57
The Usual Suspects,1995,8.5,106,76
Nuovo Cinema Paradiso,1989,8.5,174,80
Casablanca,1943,8.5,102,100
Spider-Man: Across the Spider-Verse,2023,8.5,140,86
Léon,1995,8.5,110,64
American History X,1999,8.5,119,62
The Prestige,2007,8.5,130,66
Seppuku,1962,8.6,133,85
Whiplash,2015,8.5,106,89
The Departed,2006,8.5,151,85
Hotaru no haka,1990,8.5,88,94
The Lion King,1994,8.5,88,88
Psycho,1960,8.5,109,97
Gisaengchung,2019,8.5,132,97
Gladiator,2000,8.5,155,67
The Pianist,2002,8.5,150,85
Sen to Chihiro no kamikakushi,2002,8.6,124,96
Back to the Future,1985,8.5,116,87
Star Wars,1977,8.6,121,90
Terminator 2: Judgment Day,1991,8.6,137,75
La vita è bella,1999,8.6,116,58
Cidade de Deus,2003,8.6,130,79
The Green Mile,2000,8.6,189,61
Saving Private Ryan,1998,8.6,169,91
Shichinin no samurai,1954,8.6,207,98
The Silence of the Lambs,1991,8.6,118,86
It&apos;s a Wonderful Life,1947,8.6,130,89
Se7en,1996,8.6,127,65
One Flew Over the Cuckoo&apos;s Nest,1976,8.7,133,84
Interstellar,2014,8.7,169,74
GoodFellas,1990,8.7,145,92
The Matrix,1999,8.7,136,73
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,82
Inception,2010,8.8,148,74
Fight Club,1999,8.8,139,67
The Lord of the Rings: The Two Towers,2002,8.8,179,87
Forrest Gump,1994,8.8,142,82
"Il buono, il brutto, il cattivo",1968,8.8,182,90
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92
